neg,neu,pos,compound
0.0,0.635,0.365,0.9795
0.19,0.762,0.048,-0.9349
0.102,0.818,0.08,-0.9379
0.089,0.887,0.025,-0.6711
0.0,0.718,0.282,0.8479
0.099,0.83,0.072,-0.1289
0.058,0.809,0.133,0.9763
0.191,0.753,0.056,-0.9746
0.154,0.836,0.01,-0.9668
0.168,0.751,0.081,-0.789
0.083,0.892,0.024,-0.7011
0.039,0.811,0.15,0.8898
0.083,0.79,0.126,0.8782
0.094,0.883,0.023,-0.7894
0.113,0.869,0.017,-0.9824
0.109,0.856,0.035,-0.5719
0.171,0.829,0.0,-0.8519
0.159,0.784,0.057,-0.868
0.1,0.814,0.086,-0.4541
0.069,0.904,0.027,-0.9455
0.108,0.845,0.048,-0.7476
0.109,0.868,0.023,-0.8604
0.161,0.839,0.0,-0.8537
0.051,0.683,0.265,0.9714
0.095,0.868,0.037,-0.8055
0.093,0.776,0.131,0.1015
0.151,0.8,0.049,-0.96
0.138,0.77,0.092,-0.851
0.052,0.857,0.091,0.9176
0.111,0.858,0.031,-0.9372
0.037,0.95,0.013,-0.5883
0.307,0.693,0.0,-0.9392
0.114,0.823,0.064,-0.5033
0.177,0.762,0.061,-0.8984
0.069,0.749,0.182,0.8802
0.119,0.827,0.054,-0.7097
0.043,0.918,0.039,0.1655
0.179,0.763,0.058,-0.9148
0.016,0.804,0.18,0.9615
0.177,0.763,0.059,-0.9601
0.21,0.768,0.022,-0.9747
0.054,0.878,0.068,0.2635
0.07,0.706,0.224,0.9878
0.084,0.679,0.237,0.998
0.109,0.881,0.01,-0.9669
0.062,0.847,0.091,0.598
0.025,0.907,0.068,0.4588
0.136,0.783,0.081,-0.674
0.1,0.89,0.01,-0.8841
0.1,0.886,0.014,-0.9554
0.13,0.81,0.059,-0.9443
0.212,0.788,0.0,-0.848
0.014,0.872,0.115,0.9739
0.112,0.888,0.0,-0.7351
0.078,0.851,0.072,-0.0616
0.117,0.843,0.04,-0.6808
0.14,0.84,0.02,-0.8957
0.101,0.739,0.16,0.9927
0.124,0.82,0.056,-0.9275
0.17,0.771,0.059,-0.743
0.114,0.861,0.025,-0.8608
0.145,0.803,0.052,-0.9253
0.107,0.839,0.054,-0.987
0.012,0.974,0.014,0.1341
0.176,0.774,0.05,-0.9241
0.054,0.912,0.034,-0.7076
0.028,0.938,0.034,0.09
0.037,0.718,0.245,0.9624
0.034,0.943,0.023,-0.4932
0.059,0.933,0.008,-0.7579
0.145,0.757,0.099,-0.771
0.049,0.695,0.256,0.9455
0.103,0.777,0.12,0.4985
0.091,0.876,0.033,-0.796
0.064,0.764,0.172,0.6597
0.102,0.751,0.147,0.7104
0.0,0.803,0.197,0.8895
0.073,0.771,0.156,0.6249
